case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
sum-i16,default,baseline,3,4.03637,3.90248,4.2152,5.31133,5.22668,6.39098,755784
sum-i16,default,current,3,0.803319,0.79728,0.869246,0.768048,0.662563,1.29041,348440
extrema-i16,1,baseline,3,3.80808,3.79153,3.91731,3.67714,3.63449,3.68698,71284
extrema-i16,1,current,3,2.90114,2.89722,3.03902,2.71614,2.70568,2.76785,71272
extrema-i16,2,baseline,3,2.82853,2.71676,3.39343,2.79853,2.77708,2.92125,104064
extrema-i16,2,current,3,1.97652,1.9552,1.98565,1.82914,1.82799,1.85644,81804
extrema-i16,4,baseline,3,2.29811,2.29553,3.2415,2.31935,2.28046,2.40672,169720
extrema-i16,4,current,3,1.42785,1.36892,3.10754,1.25062,1.23821,1.30673,102304
extrema-i16,8,baseline,3,3.11486,2.57199,3.64175,3.51284,2.57657,4.10445,301116
extrema-i16,8,current,3,2.40155,2.086,2.55702,2.13506,1.90926,2.33073,143264
extrema-i16,16,baseline,3,4.00246,3.97622,5.0393,4.74269,4.68394,6.08605,521792
extrema-i16,16,current,3,1.34213,1.17425,1.42123,1.41208,1.19786,3.16544,225296
extrema-i16,default,baseline,3,4.41063,4.40969,4.602,6.76652,6.44464,7.14008,796684
extrema-i16,default,current,3,1.17709,1.09236,1.23365,0.900764,0.898898,0.91756,348320
sum-i32,1,baseline,3,2.88167,2.86588,2.91517,2.74592,2.73827,2.76378,71232
sum-i32,1,current,3,1.86791,1.83443,1.86823,1.68166,1.67011,1.69419,71280
sum-i32,2,baseline,3,2.10598,2.02557,2.11253,1.84076,1.79,1.94725,95912
sum-i32,2,current,3,1.26256,1.24788,1.27422,1.12289,1.12093,1.16606,81484
sum-i32,4,baseline,3,2.14475,1.94087,2.14902,1.54273,1.47079,1.82137,126700
sum-i32,4,current,3,1.52026,1.50876,1.64107,1.42597,1.41931,1.43105,102084
sum-i32,8,baseline,3,2.79077,2.67614,3.17427,2.99941,2.63331,3.55899,200676
sum-i32,8,current,3,2.60714,2.31471,2.61757,1.38774,1.1077,1.39892,161556
sum-i32,16,baseline,3,4.95902,4.8718,5.10541,5.68594,5.45707,5.69508,348116
sum-i32,16,current,3,1.0332,0.964804,1.07971,0.927815,0.877543,0.936073,225332
sum-i32,default,baseline,3,4.21954,3.95551,4.47484,5.48193,5.05723,5.56176,751916
sum-i32,default,current,3,0.842703,0.773389,0.900228,0.70729,0.633517,0.715552,348668
extrema-i32,1,baseline,3,4.12055,3.83955,4.75309,3.70808,3.66742,3.71278,71292
extrema-i32,1,current,3,2.9813,2.92399,3.02533,2.75414,2.74461,2.76837,71212
extrema-i32,2,baseline,3,2.76321,2.72761,2.88071,2.72257,2.69386,2.78975,104104
extrema-i32,2,current,3,1.98594,1.96566,2.01147,1.83918,1.83091,1.85071,81816
extrema-i32,4,baseline,3,2.30307,2.23503,2.33044,2.33657,2.30941,2.36885,169712
extrema-i32,4,current,3,2.47832,1.39832,2.55795,1.26274,1.2373,2.49741,101908
extrema-i32,8,baseline,3,3.42816,3.05416,3.62409,3.65816,3.44323,3.74659,301020
extrema-i32,8,current,3,2.03938,1.76638,2.1818,1.96222,1.71234,2.1539,143120
extrema-i32,16,baseline,3,3.98587,3.98146,4.02253,4.99137,4.71344,5.29829,532536
extrema-i32,16,current,3,1.35976,1.29021,1.47876,1.19915,1.16844,1.22097,225132
extrema-i32,default,baseline,3,4.78081,4.19531,4.8832,6.97303,6.34178,7.41861,798716
extrema-i32,default,current,3,1.13122,1.12598,1.17444,0.919257,0.898904,0.966434,348652
sum-i64,1,baseline,3,2.92031,2.87089,2.94982,2.75781,2.72217,2.77038,71284
sum-i64,1,current,3,1.82678,1.81832,1.85004,1.69734,1.67541,1.69983,71516
sum-i64,2,baseline,3,2.07136,2.06857,2.41509,1.77488,1.77134,1.80985,96052
sum-i64,2,current,3,1.24817,1.22561,1.28382,1.12931,1.1268,1.13033,81600
sum-i64,4,baseline,3,2.03405,1.38438,2.62602,1.48698,1.42855,2.47581,126520
sum-i64,4,current,3,0.973966,0.849439,2.01383,0.757089,0.744637,1.50995,102384
sum-i64,8,baseline,3,2.59449,2.57494,2.84855,2.48184,1.55585,2.8754,200924
sum-i64,8,current,3,2.23437,2.15011,2.44172,1.10074,1.08148,1.37183,161588
sum-i64,16,baseline,3,5.08889,5.07437,5.13122,5.27388,4.9912,5.38384,348508
sum-i64,16,current,3,2.56997,2.56608,2.65954,0.984199,0.924442,0.993263,247708
sum-i64,default,baseline,3,5.05133,5.00262,5.12699,6.0133,5.73348,6.60908,763972
sum-i64,default,current,3,3.10859,2.83692,3.25708,0.724293,0.702752,0.741624,370948
extrema-i64,1,baseline,3,5.3738,5.35731,5.82831,5.09015,5.08735,5.1923,71268
extrema-i64,1,current,3,3.30825,3.18178,3.32903,3.01952,3.01545,3.07238,71276
extrema-i64,2,baseline,3,3.70684,3.43894,5.18446,3.51387,3.49743,4.7806,104088
extrema-i64,2,current,3,3.24823,3.23686,3.28004,2.20637,2.17723,2.24491,94168
extrema-i64,4,baseline,3,3.57333,2.78335,3.79783,2.79897,2.76945,2.86292,169956
extrema-i64,4,current,3,2.57464,2.56828,3.06618,1.72057,1.29109,2.3306,124940
extrema-i64,8,baseline,3,3.8067,3.7868,4.34814,3.82336,3.66589,4.82427,301104
extrema-i64,8,current,3,3.06972,2.79173,3.66651,2.03334,1.93343,2.15448,165976
extrema-i64,16,baseline,3,9.0657,8.78043,9.07953,8.95139,8.91074,9.09246,579640
extrema-i64,16,current,3,3.05314,2.96924,3.68417,1.28618,1.2499,2.0779,247784
extrema-i64,default,baseline,3,6.83421,6.55167,9.11157,8.56589,7.77039,9.12967,803120
extrema-i64,default,current,3,3.38029,3.16176,4.35511,0.971834,0.954928,2.84546,371016
sum-f32,1,baseline,3,3.01292,2.937,3.0168,2.80677,2.77775,3.00875,71392
sum-f32,1,current,3,1.8637,1.84458,2.14713,1.68725,1.6798,1.69225,71284
sum-f32,2,baseline,3,2.18041,2.09803,2.36505,1.87767,1.85474,1.93356,95908
