case,workers,binary,processes,cold_median_ms,cold_min_ms,cold_max_ms,warm_median_ms,warm_min_ms,warm_max_ms,peak_rss_kib
first-last,1,current,3,6.60903,6.58853,8.75653,5.21215,5.09187,7.14955,92128
first-last,2,baseline,3,11.2227,10.9182,11.2701,9.57088,9.5651,10.174,102316
first-last,2,current,3,6.15343,6.13035,8.70963,4.93795,4.80917,5.00115,102424
first-last,4,baseline,3,10.8256,10.7985,11.0356,9.73837,9.67351,9.87538,122596
first-last,4,current,3,5.01999,5.00619,5.25234,3.81232,3.77614,3.89115,128984
first-last,8,baseline,3,11.0627,10.7753,11.1008,9.85779,9.40357,9.89955,163672
first-last,8,current,3,4.00039,3.95179,4.44369,2.80826,2.47088,2.95415,169780
first-last,16,baseline,3,11.5219,10.7393,11.9225,9.90291,9.7397,10.2544,245820
first-last,16,current,3,4.2632,3.71548,4.31883,2.38619,2.29957,2.50754,252024
first-last,default,baseline,3,10.8919,10.7784,10.9762,9.59397,9.44323,9.79223,368868
first-last,default,current,3,4.93734,4.84119,5.69349,1.73831,1.66892,3.05581,375028
mixed,1,baseline,3,13.0948,12.8873,13.2937,11.4894,11.4571,11.7087,98208
mixed,1,current,3,11.9352,11.7995,12.2544,10.4236,10.0429,10.4561,97996
mixed,2,baseline,3,11.1109,11.1009,12.464,9.72997,9.49329,9.90548,108464
mixed,2,current,3,10.249,9.79907,10.8467,8.55293,8.48696,8.63315,108460
mixed,4,baseline,3,10.0216,10.013,10.3919,8.70454,8.5155,8.82884,128984
mixed,4,current,3,6.68952,6.62543,6.75193,5.54403,5.51961,5.59224,129224
mixed,8,baseline,3,10.3634,9.89705,10.3794,8.72915,8.16653,8.75482,170088
mixed,8,current,3,6.06707,4.86456,6.56724,3.85682,3.54915,4.19372,169880
mixed,16,baseline,3,10.0829,10.0824,10.6374,9.53252,8.88077,9.59381,251696
mixed,16,current,3,5.10905,5.06253,5.81738,3.1964,3.18613,3.20344,251740
mixed,default,baseline,3,10.1497,9.91131,10.6373,8.76293,8.4749,8.98491,375032
mixed,default,current,3,5.51339,5.38745,5.62206,2.39691,2.36638,2.51578,375328
distinct,1,baseline,3,60.1221,58.817,66.2591,66.0718,65.0266,67.8513,202120
distinct,1,current,3,50.4498,50.252,51.8757,43.8485,43.667,46.6439,202404
distinct,2,baseline,3,23.7967,23.3274,25.3826,21.8639,20.3189,22.0173,201604
distinct,2,current,3,20.641,20.2438,20.7799,16.8146,16.3903,18.0085,151468
distinct,4,baseline,3,17.0743,16.4544,18.2618,13.9913,13.9905,14.1693,230160
distinct,4,current,3,11.9849,11.0521,12.3263,8.63684,8.58601,9.05558,200632
distinct,8,baseline,3,14.5647,14.4633,14.5872,11.2294,10.983,11.3878,318328
distinct,8,current,3,7.02913,6.94185,7.39156,6.10714,5.89978,6.6388,327144
distinct,16,baseline,3,11.8774,11.8043,12.0528,11.8296,11.4286,14.1603,576552
distinct,16,current,3,4.86657,4.86062,5.10982,4.68746,4.59953,4.79417,419696
distinct,default,baseline,3,11.9068,11.1932,21.5251,12.7345,12.7154,13.3885,871496
distinct,default,current,3,4.54016,4.48183,4.54223,4.11154,4.04345,4.51697,541232
composite,1,baseline,3,28.4447,28.1179,28.6778,24.7237,24.5532,26.5636,130444
composite,1,current,3,15.4139,15.2645,15.8307,11.9506,11.4023,12.3737,137112
composite,2,baseline,3,20.7051,19.9874,21.0376,17.8262,17.5843,17.9414,153488
composite,2,current,3,12.1405,12.0937,12.6886,9.76793,9.67129,9.94601,141500
composite,4,baseline,3,17.084,16.1869,18.9278,13.4477,13.1602,14.4514,198704
composite,4,current,3,10.2996,8.23805,10.3638,6.02458,5.99584,7.25574,161792
composite,8,baseline,3,15.795,15.1309,18.3378,12.1516,11.6286,12.7104,288708
composite,8,current,3,6.7431,6.5492,7.43645,3.88642,3.59671,4.45521,202696
composite,16,baseline,3,14.438,13.8946,15.663,13.3232,11.4113,13.7275,432340
composite,16,current,3,5.92705,5.83202,6.19201,2.75768,2.66625,2.8223,284968
composite,default,baseline,3,15.8827,15.85,16.9261,13.9814,13.4597,14.4627,641528
composite,default,current,3,8.09947,7.91615,8.32868,2.11917,1.98797,2.23277,408184
selected,1,baseline,3,5.45002,5.30714,5.60358,5.01581,4.98582,5.21121,71280
selected,1,current,3,3.83971,3.80032,3.97622,3.4662,3.42853,3.61561,71552
selected,2,baseline,3,3.60234,3.44321,3.7569,3.39645,3.36483,3.46257,102320
selected,2,current,3,2.68798,2.60098,3.41594,2.37131,2.27664,2.99503,91892
selected,4,baseline,3,2.32106,2.26837,3.14204,2.30887,2.2421,2.65103,151552
selected,4,current,3,1.81404,1.78483,2.09059,1.48698,1.46632,1.72623,112864
selected,8,baseline,3,2.5428,2.49937,2.64946,2.58257,2.24095,2.84631,227244
selected,8,current,3,1.47255,1.4187,1.56863,1.19063,1.16448,1.21686,153984
selected,16,baseline,3,2.56568,2.25417,2.65258,2.64517,2.51866,2.83638,303024
selected,16,current,3,1.31024,1.29443,1.32136,0.992912,0.90686,1.05103,235888
selected,default,baseline,3,2.40701,2.31749,2.49479,2.52463,2.43385,2.57681,401824
selected,default,current,3,1.28978,1.23576,1.34957,0.967615,0.890845,0.969571,358900
selected-indexed,1,baseline,3,10.516,10.2694,10.7281,9.04923,8.78676,9.45375,102292
selected-indexed,1,current,3,8.43038,8.318,8.47689,7.17894,6.79691,7.70592,102288
selected-indexed,2,baseline,3,8.99262,8.95689,9.14508,7.85309,7.78292,8.13637,112560
selected-indexed,2,current,3,8.04807,8.04544,8.28135,6.81745,6.73172,6.94996,113080
selected-indexed,4,baseline,3,8.52385,8.51019,8.61267,7.33744,7.2953,7.42797,133128
selected-indexed,4,current,3,6.27559,6.25852,6.30604,5.13332,4.95782,5.69107,133128
selected-indexed,8,baseline,3,8.30556,8.23644,8.67422,7.0829,6.99259,7.52727,174180
selected-indexed,8,current,3,5.24638,5.0736,5.93567,4.24202,4.14747,4.24345,174352
selected-indexed,16,baseline,3,8.06611,7.98095,8.07299,6.84929,6.84877,6.90073,255660
selected-indexed,16,current,3,4.74086,4.65389,5.10821,3.58029,3.46413,4.1507,256116
selected-indexed,default,baseline,3,8.09682,7.97204,8.11669,6.86623,6.78016,6.98613,379100
selected-indexed,default,current,3,4.72004,4.5514,5.84318,3.39838,3.3876,3.98713,379104
sparse,1,baseline,3,52.1926,51.4365,52.427,49.0826,48.7955,49.4262,128572
sparse,1,current,3,50.838,50.7418,50.9332,48.1919,48.1325,48.9286,128928
sparse,2,baseline,3,27.2192,27.1138,27.2804,25.8446,25.6334,25.875,136792
sparse,2,current,3,26.2557,26.1094,26.3035,24.9,24.6654,25.0285,137424
sparse,4,baseline,3,14.6574,14.2391,15.1147,14.0987,14.0137,14.2319,188148
sparse,4,current,3,14.5727,14.3852,14.6249,13.4242,13.3995,13.4894,188404
sparse,8,baseline,3,9.2167,9.06025,9.62928,8.41367,8.27334,9.1387,319664
sparse,8,current,3,8.51001,8.44511,9.17125,7.92178,7.86008,7.96491,319560
sparse,16,baseline,3,6.30127,6.16413,6.59412,5.85785,5.83669,6.67176,475100
sparse,16,current,3,5.80016,5.71968,5.92215,5.32882,5.25149,5.64545,477096
sparse,default,baseline,3,5.67306,5.5858,5.80998,5.97472,5.94257,5.99421,770492
sparse,default,current,3,5.31451,5.28202,6.59978,7.01408,5.52047,7.07964,766916
clustered,1,baseline,3,4.12992,4.04253,4.14846,4.03779,3.90657,4.06086,71296
clustered,1,current,3,1.81919,1.81658,1.90996,1.63635,1.62605,1.6895,71212
clustered,2,baseline,3,2.73228,2.68523,3.79227,2.50677,2.4402,2.71856,95900
clustered,2,current,3,1.57733,1.49092,1.60285,1.37457,1.36906,1.37731,81852
clustered,4,baseline,3,1.69999,1.68065,1.93285,1.77048,1.74988,1.77118,126684
clustered,4,current,3,2.5876,2.42888,2.61763,1.35913,0.793945,1.47583,118484
clustered,8,baseline,3,2.14469,1.42258,2.15661,1.95101,1.56107,2.24196,200656
clustered,8,current,3,2.5964,2.37559,2.60764,1.15424,1.01171,1.33147,163624
clustered,16,baseline,3,3.07933,3.02794,3.39181,3.71156,3.66341,4.02383,348288
clustered,16,current,3,2.51699,2.49779,2.5471,0.766491,0.730307,0.775206,245668
clustered,default,baseline,3,3.8535,3.77912,4.06496,4.94647,4.70193,5.23627,541192
clustered,default,current,3,2.76275,2.66175,2.90502,0.651319,0.647425,0.676644,369164
skew,1,baseline,3,4.2176,4.20997,4.25534,4.18905,4.18159,4.26432,71560
skew,1,current,3,1.77168,1.7264,1.77172,1.51251,1.49999,1.51581,71556
skew,2,baseline,3,2.9129,2.89871,3.08191,2.7627,2.76077,3.03605,95908
skew,2,current,3,1.49203,1.20375,2.13281,1.03589,1.03178,1.05004,81572
skew,4,baseline,3,1.95135,1.90793,3.4545,2.15646,1.9792,3.5717,126640
skew,4,current,3,1.8328,1.74497,2.70235,0.777134,0.701036,1.23609,116480
skew,8,baseline,3,3.02396,1.94521,3.30196,3.34912,1.99173,3.43376,200744
skew,8,current,3,2.28635,2.11518,2.29984,1.18396,1.00107,1.21501,161892
skew,16,baseline,3,4.73483,4.67595,4.83814,4.99499,4.87804,5.23339,348280
skew,16,current,3,2.75485,2.66443,3.12934,0.952163,0.905748,1.03914,245836
skew,default,baseline,3,16.3664,15.9606,16.3931,15.9715,15.0289,16.4291,870980
skew,default,current,3,3.08262,2.82994,3.31695,0.671146,0.66766,0.725358,368700
skew-indexed,1,baseline,3,11.4574,11.2657,11.4869,9.91648,9.79442,10.0365,96124
skew-indexed,1,current,3,11.1708,11.1047,11.2461,9.56156,9.42775,9.78617,96148
skew-indexed,2,baseline,3,9.48278,9.44488,9.75891,8.05682,7.98767,8.43291,106360
skew-indexed,2,current,3,9.48749,8.71258,10.1543,7.50223,7.36349,7.67812,106628
skew-indexed,4,baseline,3,9.45465,9.29586,9.46837,8.08383,7.98298,8.1159,127092
skew-indexed,4,current,3,7.49421,6.72001,8.53092,5.24752,5.20295,5.25443,129080
skew-indexed,8,baseline,3,9.55001,9.44513,9.73882,8.07484,8.01248,8.53584,167736
skew-indexed,8,current,3,5.78151,5.40529,5.99453,3.91945,3.38648,4.54027,170100
skew-indexed,16,baseline,3,9.69318,9.64263,9.9695,8.23569,8.12543,8.49557,249892
skew-indexed,16,current,3,5.62606,5.51971,6.49192,3.04306,3.00079,3.21754,251916
skew-indexed,default,baseline,3,9.58608,9.57011,9.59724,8.19677,8.01948,8.34596,372876
skew-indexed,default,current,3,7.63693,7.31127,10.6083,2.87342,2.43173,4.71337,374860
float-key,1,baseline,3,17.2641,17.2546,17.4989,17.1283,16.984,17.5623,83848
float-key,1,current,3,13.6853,13.6356,14.4515,11.8817,11.8105,12.2315,92048
float-key,2,baseline,3,12.6809,12.677,13.0299,10.1879,9.6721,10.5752,196416
float-key,2,current,3,12.9391,12.6111,13.5714,9.81445,9.53161,9.9374,194624
float-key,4,baseline,3,8.23468,7.58575,9.96683,5.77648,5.59638,6.06818,247656
float-key,4,current,3,8.78086,7.53899,10.022,5.55434,5.49428,5.85521,233212
float-key,8,baseline,3,6.24717,6.00338,6.56727,4.47039,4.33426,4.57498,325612
float-key,8,current,3,5.89967,5.53505,6.08028,4.22017,3.91171,4.44235,319432
float-key,16,baseline,3,5.11303,4.79531,5.42804,5.28237,4.81118,5.59802,579668
float-key,16,current,3,4.55272,4.49635,4.78268,3.00571,2.96884,3.35546,251748
float-key,default,baseline,3,3.841,3.68635,3.86105,6.35678,5.88659,6.36616,821908
float-key,default,current,3,4.99421,4.99373,5.18318,2.20774,2.18478,2.21732,375236
float-indexed,1,baseline,3,19.8795,19.7565,20.8468,17.4703,17.4506,17.8861,97928
float-indexed,1,current,3,18.3168,18.0583,19.0044,16.1153,16.1113,17.5674,98192
float-indexed,2,baseline,3,17.6882,17.56,17.8942,15.9897,15.6153,16.0519,108464
float-indexed,2,current,3,14.4314,14.0416,14.4721,12.8489,12.7068,13.1091,108704
float-indexed,4,baseline,3,17.3184,16.4394,17.5295,15.2205,14.763,15.4097,128820
float-indexed,4,current,3,9.48208,9.42671,9.68062,7.8102,7.71641,8.43862,129024
float-indexed,8,baseline,3,16.9393,16.5424,17.4629,14.4495,14.1548,15.0049,170032
float-indexed,8,current,3,6.07107,5.79562,6.43461,4.9976,4.97336,5.08105,170052
float-indexed,16,baseline,3,17.2911,17.0123,17.6986,15.2495,15.1762,15.2665,251992
float-indexed,16,current,3,5.42875,5.16432,6.40859,3.75214,3.50342,3.90144,252044
float-indexed,default,baseline,3,16.8389,16.7687,16.9807,15.0729,14.8192,15.3946,375288
float-indexed,default,current,3,5.51458,5.50285,5.71736,2.79968,2.71596,2.87693,375288
symbol-key,1,baseline,3,1.28793,1.20587,1.32903,1.24551,1.20192,1.28408,87576
symbol-key,1,current,3,1.32932,1.26836,1.48091,1.11563,1.06603,1.57754,87740
symbol-key,2,baseline,3,0.646787,0.641313,0.658803,0.527431,0.509225,0.535175,97944
symbol-key,2,current,3,0.885494,0.708576,1.06701,0.762758,0.543715,0.85474,97928
symbol-key,4,baseline,3,0.609116,0.578837,0.673842,0.45528,0.26361,0.520877,118440
symbol-key,4,current,3,0.631533,0.405305,0.680858,0.447363,0.290411,0.518259,118720
symbol-key,8,baseline,3,0.493773,0.468192,0.498166,0.364847,0.332787,0.366862,159464
symbol-key,8,current,3,0.472912,0.452578,0.60245,0.284705,0.269699,0.306208,159544
symbol-key,16,baseline,3,0.528814,0.522826,0.553113,0.253916,0.247904,0.270062,241480
symbol-key,16,current,3,0.487714,0.463049,0.523397,0.203067,0.194295,0.241693,241644
symbol-key,default,baseline,3,0.637399,0.590841,0.642414,0.267455,0.228584,0.28981,364520
symbol-key,default,current,3,0.602288,0.600484,0.628995,0.244925,0.228613,0.264675,364796
string-key,1,baseline,3,24.5845,24.1086,25.2604,25.1998,24.8582,25.4506,102268
string-key,1,current,3,13.6654,13.6583,13.6668,12.4759,12.4629,12.6624,122420
string-key,2,baseline,3,18.5117,18.0921,18.6747,16.5369,16.1519,17.0944,204948
string-key,2,current,3,9.32846,9.304,9.61895,7.97788,7.89615,8.04631,139172
string-key,4,baseline,3,12.9118,10.9501,13.1077,8.85097,8.38998,9.23148,220708
string-key,4,current,3,5.33978,5.33728,5.44554,4.01938,3.99779,4.05695,159704
string-key,8,baseline,3,7.28974,6.92244,10.3892,6.84057,6.05845,7.34923,331988
string-key,8,current,3,4.2364,4.11222,4.27529,2.62839,2.37275,2.68372,200760
string-key,16,baseline,3,6.29167,6.21834,6.75785,7.34633,7.19752,9.08758,583600
string-key,16,current,3,3.8401,3.69076,3.98798,1.85294,1.76062,1.85498,282908
string-key,default,baseline,3,7.62725,5.90381,7.79372,8.49716,6.78953,9.44994,622992
string-key,default,current,3,5.28317,5.13908,7.10256,1.65204,1.46184,2.9287,405652
string-indexed,1,baseline,3,17.9138,17.3024,18.4697,16.1418,16.0069,16.7862,122500
string-indexed,1,current,3,18.2363,17.8832,18.3007,16.2289,16.1742,17.1929,122496
string-indexed,2,baseline,3,18.0939,17.9247,18.3036,15.8768,15.8557,16.8161,132832
string-indexed,2,current,3,11.6696,11.2604,13.3246,10.2885,10.2204,10.3696,139188
string-indexed,4,baseline,3,17.5898,17.4659,17.6045,16.3727,16.1685,16.922,153544
string-indexed,4,current,3,7.41355,7.29482,7.43158,5.66372,5.64048,5.84084,159988
string-indexed,8,baseline,3,17.5647,17.2795,17.5648,16.1895,15.9005,16.322,194508
string-indexed,8,current,3,5.6511,5.63034,5.73485,4.43644,4.08082,4.47716,200472
string-indexed,16,baseline,3,17.6196,17.4448,17.6526,16.3873,15.934,16.4249,276348
string-indexed,16,current,3,5.41444,5.28202,5.51269,3.50546,3.26589,3.55165,282572
string-indexed,default,baseline,3,17.3931,17.2369,17.6209,16.2267,15.5833,16.3992,399836
string-indexed,default,current,3,6.92726,6.67514,18.2273,3.06918,2.93071,13.0554,405756
wide-extrema,1,baseline,3,26.7717,26.3884,26.8064,25.8824,25.8716,26.1743,126864
wide-extrema,1,current,3,25.1943,24.5555,27.3666,23.9332,23.3977,24.2249,127104
wide-extrema,2,baseline,3,27.4303,26.1071,28.3535,25.5539,25.466,26.9989,136908
wide-extrema,2,current,3,16.4515,16.2268,20.1947,15.481,15.0702,15.6897,137156
wide-extrema,4,baseline,3,26.2311,25.947,26.5416,25.5615,25.3692,26.2113,157508
wide-extrema,4,current,3,11.3327,10.5362,11.4452,9.65175,9.62012,9.72351,151564
wide-extrema,8,baseline,3,26.126,25.9871,26.4974,25.2846,24.8693,25.4932,198308
wide-extrema,8,current,3,8.23361,7.69959,9.23312,6.49302,6.37823,6.8224,192632
wide-extrema,16,baseline,3,26.9108,26.1856,28.5858,26.2252,25.3439,27.1455,280680
wide-extrema,16,current,3,6.91491,6.87333,7.01715,5.38196,5.25593,5.47628,274860
wide-extrema,default,baseline,3,26.4643,26.0338,26.465,25.152,24.833,25.2752,403432
wide-extrema,default,current,3,6.60295,6.57926,6.60388,4.64733,4.60456,4.65022,397836
extrema-date,1,baseline,3,4.15692,4.13681,4.36179,3.81809,3.79154,3.84679,103636
extrema-date,1,current,3,3.05794,3.05031,3.13843,2.74614,2.72577,2.75919,104056
extrema-date,2,baseline,3,3.08403,2.95273,3.12221,2.80293,2.67211,2.82735,137136
extrema-date,2,current,3,2.06032,2.02887,3.93943,1.8392,1.83369,1.95314,114340
extrema-date,4,baseline,3,2.44538,2.28491,2.78463,2.37253,2.32814,2.68444,202724
extrema-date,4,current,3,1.44761,1.44183,1.57452,1.26555,1.24206,1.74661,134876
extrema-date,8,baseline,3,3.1173,3.03726,3.51182,3.26633,3.2172,3.5386,333508
extrema-date,8,current,3,2.08427,2.08133,2.18208,2.016,1.75714,2.04679,175952
extrema-date,16,baseline,3,4.15215,4.12062,4.23502,4.71376,4.59321,5.07625,554828
extrema-date,16,current,3,1.48626,1.3852,1.54416,1.28514,1.28202,1.30598,258160
extrema-date,default,baseline,3,4.53009,4.42393,4.59071,6.60827,6.07856,6.61732,825648
extrema-date,default,current,3,1.23771,1.11965,1.41779,0.971952,0.917081,1.08279,381660
extrema-timestamp,1,baseline,3,4.36463,4.33774,4.46084,3.82812,3.79317,4.24469,118656
extrema-timestamp,1,current,3,3.54841,3.50259,3.65425,3.01585,2.99636,3.22706,118644
extrema-timestamp,2,baseline,3,3.437,2.99709,4.69658,2.90708,2.85235,3.07061,151452
extrema-timestamp,2,current,3,2.32123,2.31653,2.44476,1.96964,1.95401,1.99382,128860
extrema-timestamp,4,baseline,3,3.57648,3.27036,3.60233,2.37622,2.32631,2.52327,217104
extrema-timestamp,4,current,3,2.35415,2.13563,3.10717,1.43267,1.34149,1.44989,159492
extrema-timestamp,8,baseline,3,3.56856,3.53791,3.82235,3.93447,3.47598,4.1629,348260
extrema-timestamp,8,current,3,3.29106,2.99039,9.62104,2.36969,1.99491,3.88882,200596
extrema-timestamp,16,baseline,3,7.82457,7.70814,7.96382,8.19396,8.13165,8.25012,610856
extrema-timestamp,16,current,3,2.35516,2.30066,2.44112,1.36934,1.306,1.38569,282748
extrema-timestamp,default,baseline,3,6.6222,6.10537,7.64854,6.69323,6.64289,7.52515,836152
extrema-timestamp,default,current,3,2.69622,2.64016,2.94833,0.969572,0.965193,1.00629,406020
wide-mode,1,baseline,3,16.9147,16.2128,17.1317,15.3161,14.9849,15.4688,118664
wide-mode,1,current,3,17.0749,16.1086,17.642,15.393,14.6737,16.505,118824
wide-mode,2,baseline,3,16.344,16.261,17.104,15.2818,15.0474,16.1532,128736
wide-mode,2,current,3,11.5964,11.212,12.5719,10.887,10.8142,12.2629,128944
wide-mode,4,baseline,3,16.7449,16.4067,17.3684,14.8806,14.7019,15.0342,149428
wide-mode,4,current,3,8.28158,7.82692,9.06012,7.16337,7.02921,7.57069,151548
wide-mode,8,baseline,3,15.4623,15.2646,15.7403,15.0585,14.9897,15.1289,190444
wide-mode,8,current,3,6.12025,5.74942,6.43746,4.70674,4.51779,5.05731,192740
wide-mode,16,baseline,3,16.4999,15.2564,16.8686,15.1603,14.2123,15.9337,272460
wide-mode,16,current,3,5.42177,5.42144,5.71673,3.92695,3.78208,4.08904,274688
wide-mode,default,baseline,3,16.902,16.5646,16.9505,14.9622,14.7953,15.7037,395516
wide-mode,default,current,3,5.22961,5.12808,8.24282,3.37304,3.1722,5.62216,397580
wide-top-bottom,1,baseline,3,34.6592,34.2616,35.7342,31.5003,31.3843,32.3679,186132
wide-top-bottom,1,current,3,35.197,34.4335,37.4449,31.4075,31.1848,32.2265,186088
wide-top-bottom,2,baseline,3,35.0762,34.1592,35.2802,31.5954,31.5953,32.6754,196528
wide-top-bottom,2,current,3,23.0019,20.1318,25.7063,20.7082,19.7517,21.4238,212896
wide-top-bottom,4,baseline,3,34.542,34.2345,36.95,32.2646,32.0714,32.4707,217032
wide-top-bottom,4,current,3,13.5741,12.0801,14.1295,11.9241,11.6107,12.0473,225448
wide-top-bottom,8,baseline,3,34.3376,34.1313,35.6135,31.383,31.1896,32.9149,258136
wide-top-bottom,8,current,3,8.05092,7.61747,11.0561,6.85939,6.79814,8.86685,342164
wide-top-bottom,16,baseline,3,35.1798,34.063,37.8777,32.5018,31.5415,33.286,339756
wide-top-bottom,16,current,3,6.8097,6.55738,6.99991,5.43522,5.29651,5.66479,421916
wide-top-bottom,default,baseline,3,34.3055,34.0273,34.8732,31.4531,31.1335,32.4085,462892
wide-top-bottom,default,current,3,5.97946,5.73091,6.03558,4.11873,4.00581,4.36842,516700
extrema-ascending,1,baseline,3,3.72952,3.36856,4.06803,3.39566,3.24853,3.53015,71276
extrema-ascending,1,current,3,2.84876,2.81039,2.86688,2.6506,2.63505,2.68225,71344
extrema-ascending,2,baseline,3,2.40784,2.37752,2.52752,2.35063,2.34938,2.43922,104344
extrema-ascending,2,current,3,2.02395,1.85794,2.95237,1.7298,1.72425,2.03362,81536
extrema-ascending,4,baseline,3,2.6842,2.21643,3.05204,2.82645,2.20538,2.89582,170012
extrema-ascending,4,current,3,1.30307,1.29832,1.44156,1.16382,1.14128,1.18048,102168
extrema-ascending,8,baseline,3,3.27675,2.82407,3.39622,3.21948,2.47483,3.29902,301032
extrema-ascending,8,current,3,1.93777,1.59597,2.0532,1.73392,1.47052,1.93112,143208
extrema-ascending,16,baseline,3,3.96972,3.84158,4.01411,4.50175,4.33142,4.62157,528156
extrema-ascending,16,current,3,1.26869,1.16658,1.27784,1.14602,1.12224,1.16881,225320
extrema-ascending,default,baseline,3,4.34774,4.12422,4.37853,6.50641,6.30394,6.62015,803140
extrema-ascending,default,current,3,1.00859,0.979915,1.13806,0.915286,0.848123,0.991834,348364
extrema-descending,1,baseline,3,3.46788,3.4257,3.46807,3.22514,3.21664,3.24878,71276
extrema-descending,1,current,3,2.97365,2.88994,3.31361,2.65437,2.64595,2.70111,71296
extrema-descending,2,baseline,3,2.55894,2.47662,3.04569,2.44734,2.42602,2.48889,104120
extrema-descending,2,current,3,1.91099,1.82731,1.93711,1.72385,1.72005,1.74822,81808
extrema-descending,4,baseline,3,2.76106,2.51378,2.84996,2.74306,2.1981,2.92969,169544
extrema-descending,4,current,3,2.33886,2.18941,2.42297,1.17514,1.16895,2.27383,102136
extrema-descending,8,baseline,3,3.0775,2.06577,3.20526,3.13362,2.58927,3.49574,300900
extrema-descending,8,current,3,2.04927,1.58464,2.27525,1.90041,1.51183,2.19676,143084
extrema-descending,16,baseline,3,3.81476,3.73004,3.93306,4.56768,4.42162,4.77262,530468
extrema-descending,16,current,3,1.2827,1.25821,1.33349,1.20927,1.19614,1.34158,225384
extrema-descending,default,baseline,3,4.76794,4.46966,4.76804,6.37629,5.77425,6.6306,795160
extrema-descending,default,current,3,1.13766,1.00278,1.14186,0.833244,0.816589,0.878052,348376
few-groups-indexed,1,baseline,3,5.98107,5.94388,6.84367,4.58422,4.57103,5.41288,89740
few-groups-indexed,1,current,3,3.34211,3.27256,3.39713,2.0637,2.06259,2.0718,90180
few-groups-indexed,2,baseline,3,6.00968,5.94978,6.06117,4.44369,4.36927,4.47055,100008
few-groups-indexed,2,current,3,3.0404,2.99341,3.29885,1.87717,1.84696,1.9267,100252
few-groups-indexed,4,baseline,3,5.96232,5.94414,6.04504,4.55567,4.42246,4.56055,120788
few-groups-indexed,4,current,3,2.87696,2.21448,2.99803,1.23304,1.1877,1.40505,118996
few-groups-indexed,8,baseline,3,6.01299,5.93984,6.01417,4.53674,4.44186,4.56469,161644
few-groups-indexed,8,current,3,1.85696,1.72231,1.94939,0.856779,0.711055,0.900485,159852
few-groups-indexed,16,baseline,3,6.18019,6.01618,6.76127,4.40912,4.34745,5.22532,243788
few-groups-indexed,16,current,3,1.96048,1.88924,1.96191,0.568243,0.559137,0.585207,241760
few-groups-indexed,default,baseline,3,5.98013,5.97938,6.01457,4.47183,4.43963,4.56004,367080
few-groups-indexed,default,current,3,2.39552,2.35035,2.64826,0.524136,0.520776,0.552251,365028
hot-top-ascending,1,baseline,3,6.48262,6.43096,6.50462,5.43292,5.38656,5.51606,87672
hot-top-ascending,1,current,3,6.4159,6.39105,6.60793,5.38995,5.30374,5.41042,87836
hot-top-ascending,2,baseline,3,6.50204,6.41472,6.58289,5.40962,5.32106,5.57461,98188
hot-top-ascending,2,current,3,4.43768,4.39617,6.2911,3.36497,3.34263,4.11724,98224
hot-top-ascending,4,baseline,3,6.45316,6.43816,6.65191,5.45601,5.36024,5.54086,118680
hot-top-ascending,4,current,3,1.98517,1.95997,2.14163,1.89589,1.87674,2.05569,102336
hot-top-ascending,8,baseline,3,6.49846,6.48206,6.53261,5.37697,5.34689,5.47062,159432
hot-top-ascending,8,current,3,1.60253,1.44801,2.14297,1.34047,1.27961,1.54634,143212
hot-top-ascending,16,baseline,3,6.50102,6.48847,6.60741,5.3548,5.30873,5.46717,241788
hot-top-ascending,16,current,3,0.996319,0.98001,1.12856,0.770642,0.763049,0.872596,225348
hot-top-ascending,default,baseline,3,6.52277,6.49138,6.57208,5.37463,5.36753,5.38156,364972
hot-top-ascending,default,current,3,1.00641,0.983387,1.02154,0.709564,0.704886,0.726718,348556
guid-key,1,baseline,3,12.1912,12.1201,12.2227,10.5166,10.4167,10.7139,122752
guid-key,1,current,3,11.9861,11.9214,11.9924,10.3959,10.1571,10.6609,122708
guid-key,2,baseline,3,12.1628,12.1282,12.2146,10.51,10.4106,10.6529,132752
guid-key,2,current,3,7.86898,7.78616,7.92789,6.37708,6.37446,6.41516,133040
guid-key,4,baseline,3,12.6018,12.2024,12.7186,10.568,10.4277,10.9615,153792
guid-key,4,current,3,5.26008,5.23701,7.34279,4.00091,3.88525,5.7121,153588
guid-key,8,baseline,3,12.2829,12.2225,12.3764,10.477,10.4225,10.5133,194664
guid-key,8,current,3,4.2104,4.11737,4.43581,2.94823,2.87786,3.1572,194372
guid-key,16,baseline,3,12.11,12.0775,12.3149,10.4534,10.4313,10.6907,276668
guid-key,16,current,3,4.36779,4.31168,4.59557,2.49245,2.464,2.50603,276568
guid-key,default,baseline,3,12.238,12.2171,12.3073,10.5296,10.4232,10.6126,399596
guid-key,default,current,3,6.41462,6.29287,6.5182,2.51814,2.4193,2.52894,399880
list-key,1,baseline,3,28.6646,28.4436,30.8402,27.6491,27.5626,27.8837,102312
list-key,1,current,3,17.515,17.4859,18.0228,16.4494,16.2965,16.4535,102264
list-key,2,baseline,3,28.6511,28.637,28.701,27.6334,27.6266,27.7233,112268
list-key,2,current,3,9.87613,9.8057,9.87848,9.37827,9.35463,9.42016,106288
list-key,4,baseline,3,28.883,28.6632,28.9412,27.8146,27.8007,28.0665,132848
list-key,4,current,3,6.29784,6.12192,6.63537,5.41346,5.41276,5.4174,126904
list-key,8,baseline,3,28.5722,28.5161,28.5767,27.6002,27.5487,27.7738,174168
