case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
extrema-bool,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.35131,300728,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,3.60044,3.60044,3.18023,4.41703,3.61146,3.04843
extrema-bool,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.28211,143196,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.72616,2.26358,1.99024,1.62486,1.63282,1.72616
extrema-bool,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.79115,507888,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,4.63651,4.2763,4.91498,4.63651,3.84428,5.52086
extrema-bool,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.13552,225128,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,1.83127,1.51155,1.47836,1.83127,1.9465,1.8874
extrema-bool,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.13591,809292,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,5.60263,5.39616,6.54593,4.74846,5.60263,8.72862
extrema-bool,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.988766,348356,11a2b43ddb236cf91744ab8f1ced269bcd7426c87a195977b338f9c480bfea34,0.814595,0.879929,0.836259,0.805611,0.805832,0.814595
sum-u8,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.87442,70932,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,2.69868,2.69868,2.69519,2.68813,2.71272,2.7044
sum-u8,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.82349,71536,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.65574,1.66772,1.65512,1.65544,1.66702,1.65574
sum-u8,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.03569,95920,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.7313,1.7313,1.99937,1.7188,1.82547,1.68594
sum-u8,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.45635,81744,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.1986,1.2939,1.29231,1.1986,1.17552,1.11363
sum-u8,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.06063,126740,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.91371,2.20243,1.91371,2.4272,1.87738,1.4149
sum-u8,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.61996,102036,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.43282,1.58715,1.49256,1.43282,1.42859,1.42507
sum-u8,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.27418,200560,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,3.1271,3.32739,2.93051,3.75022,3.1271,2.96594
sum-u8,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.50413,143120,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.37373,1.37279,1.40417,1.51601,1.36798,1.37373
sum-u8,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,5.09348,348236,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,5.15294,5.46629,5.15294,5.49655,4.08691,4.78483
sum-u8,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.04345,225136,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,0.884019,0.884019,0.946074,0.815991,0.925342,0.835646
sum-u8,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.04075,756084,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,4.8532,4.85175,4.41111,6.24515,4.8532,5.48187
sum-u8,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.797461,348112,6ee3c77ffbcfa78658c6e2d83db34cfa1d1e7dee8b7b22b8a489f69ac294492f,1.36317,0.68255,1.29027,1.36317,1.49408,1.3846
extrema-u8,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.29172,70728,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,3.0048,2.95851,3.00506,3.0048,2.95557,3.04542
extrema-u8,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,3.08847,71264,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,2.80163,2.84814,2.82755,2.80163,2.75288,2.7626
extrema-u8,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.76971,103816,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,2.2824,2.58948,2.4022,2.03546,2.2824,2.08734
extrema-u8,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,2.15706,81532,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,1.87726,1.9192,1.87726,1.88585,1.86188,1.84688
extrema-u8,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.89413,169504,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,2.06043,2.62644,2.41707,1.82885,2.06043,1.86134
extrema-u8,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.6939,102360,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,1.28068,1.4003,1.29125,1.28068,1.26719,1.27358
extrema-u8,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.84083,300744,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,2.81285,3.3643,2.45228,3.03001,2.49659,2.81285
extrema-u8,8,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.95566,142896,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,2.00885,1.94925,1.94615,2.00885,2.18242,2.18841
extrema-u8,16,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.86416,511956,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,4.22231,4.22231,4.95308,4.14618,3.75908,5.45574
extrema-u8,16,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.21197,225216,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,1.15331,1.2029,1.15979,1.15331,1.14639,1.12049
extrema-u8,default,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,4.1046,786732,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,6.30159,4.93492,6.30159,4.36774,6.92823,6.6932
extrema-u8,default,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.04023,348556,865618857312d182f2e0f74b03c647f75d8a300ec949898790a3af65cf896f38,0.899765,0.908493,0.871367,0.879776,0.899765,0.906541
sum-i16,1,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.89775,71020,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.77812,2.82442,2.79117,2.77499,2.75549,2.77812
sum-i16,1,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.82626,71200,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.66239,1.66239,1.65782,1.66249,1.66178,1.6702
sum-i16,2,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.12622,96160,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.73741,1.73741,1.99618,1.72421,1.85394,1.71025
sum-i16,2,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.22018,81820,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.11574,1.12077,1.11574,1.11486,1.11916,1.11272
sum-i16,4,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,2.17748,126268,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,1.38873,1.88947,1.24751,1.59695,1.22203,1.38873
sum-i16,4,current,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,0.903795,101956,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,0.740804,0.825396,0.740804,0.738327,0.732612,0.815267
sum-i16,8,baseline,f9ed90d41e7bff92707a796e4677772351a23e53a6e148cf831a3feb92ae880e,1,1000000,65536,3.52005,200588,67815070ec5e825828d32b5e6b3a37db6aa89f046b6f7390a537494ae110c572,2.9961,3.09517,2.71377,3.48076,2.6593,2.9961
