input,operation,registry,scalar_result,grouped_result
SYM,var_pop,no,ERROR,ERROR
SYM,stddev,no,ERROR,ERROR
SYM,stddev_pop,no,ERROR,ERROR
SYM,all,no,ERROR,ERROR
SYM,any,no,ERROR,ERROR
SYM,med,no,ERROR,ERROR
STR,count,yes,i64,I64
STR,sum,no,ERROR,ERROR
STR,avg,no,ERROR,ERROR
STR,min,no,str,STR
STR,max,no,str,STR
STR,first,no,str,STR
STR,last,no,str,STR
STR,prod,no,ERROR,ERROR
STR,var,no,ERROR,ERROR
STR,var_pop,no,ERROR,ERROR
STR,stddev,no,ERROR,ERROR
STR,stddev_pop,no,ERROR,ERROR
STR,all,no,ERROR,ERROR
STR,any,no,ERROR,ERROR
STR,med,no,ERROR,ERROR
LIST,count,yes,i64,I64
LIST,sum,no,i64,I64
LIST,avg,no,f64,F64
LIST,min,no,i64,I64
LIST,max,no,i64,I64
LIST,first,no,i64,I64
LIST,last,no,i64,I64
LIST,prod,no,i64,I64
LIST,var,no,f64,F64
LIST,var_pop,no,f64,F64
LIST,stddev,no,f64,F64
LIST,stddev_pop,no,f64,F64
LIST,all,no,b8,B8
LIST,any,no,b8,B8
LIST,med,no,f64,F64
