case,workers,binary,sha256,round,rows,groups,cold_ms,peak_rss_kib,result_sha256,warm_median_ms,warm_1_ms,warm_2_ms,warm_3_ms,warm_4_ms,warm_5_ms
binary,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,15.4497,116568,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,12.789,12.4526,12.7914,12.789,12.6875,12.9293
binary,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,6.51876,186348,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,4.16533,4.14007,4.36978,4.16533,4.61431,3.99701
binary,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,5.24393,186268,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,3.31073,3.38609,3.17129,2.98721,3.31073,3.99599
binary,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,5.6956,391456,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,2.3585,3.07011,2.40673,2.3585,2.3284,2.27441
binary,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,6.0178,391548,a07c1dabc08383bc311d6241d6f8f29ca0845609ef637c571d284a88105dca45,3.03359,3.25422,3.03359,2.62223,2.63322,3.05871
composite,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,458752,16.4185,136852,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,11.6953,12.7318,11.4364,11.6953,11.8614,11.5883
composite,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,458752,15.0857,136908,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,11.3266,12.1269,11.3266,11.5633,11.2266,11.3061
composite,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,458752,6.37715,202324,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,4.28946,5.22028,4.28946,4.33272,3.93803,3.64174
composite,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,458752,7.0761,202640,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,3.69107,5.53684,3.94404,3.42447,3.65586,3.69107
composite,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,458752,8.48006,407864,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,1.98612,4.10235,2.25729,1.92714,1.98612,1.88447
composite,default,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,458752,8.30413,407664,89e28455f2fc78110cb132870bf7c66b4c81609c003a643a742f2a50c43ee976,1.92586,3.92664,2.23381,1.89995,1.92586,1.89401
selected,1,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,3.7042,71056,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,3.36218,3.40924,3.37043,3.36218,3.35886,3.36212
selected,1,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,3.77824,71524,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,3.3907,3.41372,3.37881,3.3907,3.36801,3.3996
selected,8,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.60384,153188,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,1.22663,1.29279,1.23567,1.22663,1.2216,1.21741
selected,8,current,ab1f19e100f89164af1ef511fe6390cf3e634114a1fb0c5df9bd039c578e343b,1,1000000,65536,1.93655,153428,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,1.35526,1.49935,1.35196,1.35526,1.38094,1.2555
selected,default,baseline,1003a83830e8b12ae1cb86bdec98af3d649ae54404b59a1466ec31548b149353,1,1000000,65536,1.35941,358364,8522e3c9de155d55f5248f18156623a96083744742ecf5754c6432bd416e0da2,0.861955,1.00141,0.910292,0.849524,0.861955,0.852379
